marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm
CITROEN,C4 X,petrol,29400,30400.0,96.0,510.0,6.5,,4580.0,2,True,anteriore,1800.0,1525.0
CITROEN,C4 X,petrol/electric,29850,31800.0,107.0,510.0,5.5,,4580.0,4,True,anteriore,1800.0,1525.0
CITROEN,C5 Aircross,electric,37690,40690.0,104.0,565.0,18.0,,4650.0,3,True,anteriore,1902.0,1690.0
CITROEN,C5 Aircross,petrol/electric,33990,42990.0,143.0,565.0,1.6,,4650.0,7,False,anteriore,1902.0,1690.0
CITROEN,E-C3,electric,20490,25150.0,53.0,310.0,15.0,,4015.0,6,True,anteriore,1755.0,1577.0
CITROEN,E-C4 X,electric,35150,36550.0,59.5,510.0,15.0,,4580.0,4,True,anteriore,1800.0,1525.0
CUPRA,Born,electric,40100,41750.0,70.0,385.0,15.0,,4324.0,5,True,posteriore,1809.0,1540.0
CUPRA,Formentor,diesel,41750,43050.0,110.0,450.0,5.2,,4451.0,3,True,anteriore,1839.0,1511.0
CUPRA,Formentor,petrol,37200,52100.0,195.0,420.0,7.7,,4451.0,13,False,anteriore,1839.0,1511.0
CUPRA,Formentor,petrol/electric,40850,48000.0,150.0,345.0,1.6,,4451.0,9,False,anteriore,1839.0,1511.0
CUPRA,Leon berlina,diesel,38150,39100.0,110.0,380.0,5.2,,4398.0,3,True,anteriore,1799.0,1444.0
CUPRA,Leon berlina,petrol,33450,42225.0,165.5,380.0,4.9,,4398.0,6,False,anteriore,1799.0,1444.0
CUPRA,Leon berlina,petrol/electric,37200,44450.0,150.0,270.0,6.5,,4399.0,9,True,anteriore,1799.0,1444.0
CUPRA,Leon station,diesel,38900,40000.0,110.0,620.0,5.2,,4656.0,3,True,anteriore,1799.0,1438.0
CUPRA,Leon station,petrol,34600,43050.0,150.0,620.0,6.3,,4656.0,9,False,anteriore,1799.0,1438.0
CUPRA,Leon station,petrol/electric,38400,45950.0,150.0,470.0,6.5,,4656.0,9,True,anteriore,1799.0,1438.0
CUPRA,Raval,electric,35950,39950.0,70.0,441.0,15.0,,4046.0,3,True,anteriore,1784.0,1514.0
CUPRA,Tavascan,electric,52800,59550.0,89.0,540.0,18.0,,4644.0,5,True,posteriore,1861.0,1597.0
CUPRA,Terramar,petrol,47550,49650.0,150.0,540.0,8.5,,4519.0,6,True,anteriore,1863.0,1584.0
