marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm
MERCEDES,Citan,petrol,31177,32420.0,96.0,,4.6,,4488.0,3,False,anteriore,1859.0,1808.0
MERCEDES,Classe A,diesel,38621,46231.0,110.0,420.0,4.3,,4570.0,18,False,anteriore,1797.0,1446.0
MERCEDES,Classe A,petrol/electric,37194,50730.0,160.0,420.0,5.3,,4570.0,25,False,anteriore,1797.0,1446.0
MERCEDES,Classe A 5p,diesel,38060,44166.5,110.0,370.0,4.3,,4453.0,22,False,anteriore,1850.0,1455.0
MERCEDES,Classe A 5p,petrol,69390,71336.0,310.0,370.0,8.4,,4453.0,2,False,anteriore,1850.0,1455.0
MERCEDES,Classe A 5p,petrol/electric,36657,50010.0,160.0,370.0,5.3,,4453.0,31,False,anteriore,1850.0,1455.0
MERCEDES,Classe B,diesel,39097,47692.0,110.0,445.0,4.3,,4427.0,21,False,anteriore,1796.0,1545.0
MERCEDES,Classe B,petrol/electric,38487,47628.0,120.0,455.0,5.4,,4427.0,26,False,anteriore,1796.0,1545.0
MERCEDES,Classe GLB 2019,diesel,45976,53095.0,110.0,570.0,4.8,,4651.0,21,False,anteriore,1845.0,1658.0
MERCEDES,Classe GLB 2019,petrol/electric,68549,70447.0,225.0,570.0,7.5,,4651.0,3,False,anteriore,1845.0,1658.0
MERCEDES,Classe T,diesel,35308,35903.5,77.5,,4.6,,4488.0,2,False,anteriore,1859.0,1811.0
